Title,Description,ReleaseDate
Promises,"Several Jewish and Palestinian children are followed for three years and put in touch with each other, in this alternative look at the Jewish", 2001
Life and Debt,Documentary look at the effects of globalization on Jamaican industry and agriculture., 2001
"Ram Dass, Fierce Grace","After Richard Alpert was fired from Harvard in 1963 for conducting psychedelic drug research, he journeyed to India, found a guru and was renamed Ram Dass ", 2001
Circuit,"John, a gay Illinois small town cop moves to Los Angeles, hoping to fit into a place more welcoming of his sexuality. He soon discovers the ", 2001
High Heels and Low Lifes,A nurse eavesdrops with a friend on a cell phone conversation that describes a bank heist. She and the friend then conspire to blackmail the robbers for , 2001
Le fate ignoranti,"AIDS doctor Antonia's husband is killed by a car. She gets depressed until she learns he had been cheating on her with a man. Following her newly born curiosity for life, she goes to see ...                ", 2001
Alias Betty,"Grieving after the death of her young son Joseph, novelist Betty Fisher enters a dark depression. Hoping to bring her out of it, her mother Margot arranges to kidnap another child, Jose, to...                ", 2001
The Château,Two brothers go to France to claim the chateau they have inherited., 2001
Chaos,"A bourgeois couple, modern yet conventional. One night by accident, a young prostitute barges into their lives. Hounded down, beaten up, threatened, she will continue to struggle, with the ...                ", 2001
Ni na bian ji dian,"When a young street vendor with a grim home life meets a woman on her way to Paris, they forge an instant connection. He changes all the clocks in Taipei to French time", 2001
Taking Sides,"A tale based on the life of Wilhelm Furtwangler, the controversial conductor of the Berlin Philharmonic whose tenure coincided with the controversial Nazi era. One of the most spectacular ...                ", 2001
Jump Tomorrow,"A young Nigerian man on the verge of being in an arranged marriage, suddenly questions his situation after an encounter with a stunning Latin woman, who is also about to be married.", 2001
The Girl from Paris,"Sandrine, a woman in her thirties gets tired of life in Paris and decides to leave her work in computers and become a farmer. She takes the required practice for two years, and after that ...                ", 2001
Chop Suey,"A homage to Bruce Weber's Favourite things, these being mixing film, photography and classic movies. With portraits of a lesbian jazz singer and a 16 year old wrestler.", 2001
Series 7: The Contenders,A TV program selects people at random to kill one another for fame and their freedom., 2001
Shiqi sui de dan che,A seventeen, 2001
The Trumpet of the Swan,It's a high, 2001
Go Tigers!,, 2001
Boys to Men,Compilation of 4 short films from different directors all with a common theme of gay identity , 2001
Bartleby,A clueless boss has no idea what to do with his mundane office worker whose refusal of duties only gets worse each passing minute., 2001
The Experiment,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ", 2001
Pauline & Paulette,"Pauline is a 'little girl of 66 years old'. She is intellectually disabled and been cared after by her sister Martha. When Martha dies, her two younger sisters, Paulette and Cecile have to ...                ", 2001
Russian Doll,"Harvey, a self", 2001
Baran,In a building site in present, 2001
Amy's Orgasm,Story of a 29, 2001
Home Movie,Documentary look at five unusual homes and the people who built , 2001
Fidel,"Documentary about Fidel Castro, covering 40 years of Cuban Revolution. Rare Fidel Castro footage", 2001
Lan Yu,"Beijing, 1988. On the cusp of middle", 2001
Raye makhfi,A female election agent and a gun, 2001
The Lost Skeleton of Cadavra,"A bad scientist and wife, a mad scientist and skeleton, two aliens and their escaped pet are all searching for the elusive element ", 2001
Intimacy,"A failed London musician meets once a week with a woman for a series of intense sexual encounters to get away from the realities of life. But when he begins inquiring about her, it puts their relationship at risk.", 2001
La Ciénaga,"The life of two women and their families in a small provincial town of Salta, Argentina.", 2001
Lola,"The story follows a troubled woman and her search for identity. She is given a choice between a return to the dysfunction of the past, or a new life in self assumed identity.", 2001
Big Bad Love,"Vietnam veteran Leon Barlow is struggling as a writer, and his personal life isn't much better. His unsympathetic ex", 2001
Wendigo,George is a high, 2001
World Traveler,After hitting the road a man encounters characters that make him realize the importance of family., 2001
Mean Machine,A soccer star jailed for assault leads a group of inmates in a match against prison guards., 2001
Jodi No.1,"Rai Bahadur lives a wealthy lifestyle in Panjim, Goa, along with three brothers, Raman, Kamal, and Ashok along with their respective wives and children. He also has a sister, Shanno, and a ...                ", 2001
Wasabi,"Hubert is a French policeman with very sharp methods. After being forced to take 2 months off by his boss, who doesn't share his view on working methods, he goes back to Japan, where he ...                ", 2001
Invincible,A Jewish strongman performs in Berlin as the blond Aryan hero Siegfried., 2001
Don't Tempt Me,"Two angels, one from the heaven and one from the hell, come to earth to save the soul of a boxer.", 2001
Cet amour-là,Cet Amour, 2001
Herman U.S.A.,"When 78 eligible bachelors from a small Minnesota town advertise for female companionship, women from 37 states and four foreign countries arrive, changing the men's lives forever.", 2001
How the Grinch Stole Christmas,"On the outskirts of Whoville, there lives a green, revenge", 2000
Cast Away,A FedEx executive must transform himself physically and emotionally to survive a crash landing on a deserted island., 2000
Mission: Impossible II,"A secret agent is sent to Sydney, to find and destroy a genetically modified disease called ", 2000
Gladiator,"When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.", 2000
What Women Want,"After an accident, a chauvinistic executive gains the ability to hear what women are really thinking.", 2000
The Perfect Storm,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger., 2000
Meet the Parents,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.", 2000
X-Men,Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers., 2000
Scary Movie,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.", 2000
What Lies Beneath,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost , 2000
Dinosaur,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home., 2000
